City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,iskateley,67.6803,53.1512,-30.55,100,95,1.79,RU,1707628472
1,port-aux-francais,-49.35,70.2167,7.95,99,100,12.31,TF,1707628472
2,grytviken,-54.2811,-36.5092,2.85,89,28,7.7,GS,1707628472
3,itanhem,-17.1664,-40.33,20.7,94,76,1.09,BR,1707628473
4,college,64.8569,-147.8028,-7.82,78,40,2.57,US,1707628473
5,idri,27.5,13.2667,13.16,18,100,1.25,LY,1707628473
6,tutoia,-2.7619,-42.2744,23.64,96,100,2.11,BR,1707628473
7,sanctuary point,-35.1114,150.629,24.99,53,1,6.07,AU,1707628474
8,archangelos,36.2149,28.1149,15.17,74,100,7.09,GR,1707628474
9,hawaiian paradise park,19.5933,-154.9731,21.73,91,100,1.54,US,1707628474
10,avarua,-21.2078,-159.775,27.03,74,40,4.12,CK,1707628475
11,longyearbyen,78.2186,15.6401,-6.09,73,0,5.66,SJ,1707628475
12,selfoss,63.9331,-20.9971,-3.7,80,100,4.96,IS,1707628475
13,olonkinbyen,70.9221,-8.7187,-3.45,67,100,7.06,SJ,1707628009
14,bindlach,49.9817,11.6139,7.95,94,100,0.89,DE,1707628476
15,waitangi,-43.9535,-176.5597,14.34,93,72,1.79,NZ,1707628015
16,puerto natales,-51.7236,-72.4875,10.2,93,100,1.47,CL,1707628476
17,kuanda,56.3161,116.0806,-11.82,79,100,1.22,RU,1707628476
18,adamstown,-25.066,-130.1015,23.15,88,99,8.22,PN,1707628476
19,tomatlan,19.9333,-105.25,18.77,92,86,0.88,MX,1707628477
20,stanley,54.868,-1.6985,5.29,100,100,2.57,GB,1707628477
21,teshi old town,5.5836,-0.1072,26.87,86,21,2.94,GH,1707628477
22,uturoa,-16.7333,-151.4333,27.78,87,100,13.96,PF,1707628477
23,port elizabeth,-33.918,25.5701,18.51,73,0,1.54,ZA,1707628478
24,ust-nera,64.5667,143.2,-26.6,95,100,0.79,RU,1707627898
25,edinburgh of the seven seas,-37.0676,-12.3116,18.45,92,90,8.26,SH,1707628478
26,kapuskasing,49.4169,-82.4331,-8.0,73,100,5.66,CA,1707627944
27,invercargill,-46.4,168.35,13.9,71,83,5.81,NZ,1707628219
28,blackmans bay,-43.0167,147.3167,22.07,52,73,3.56,AU,1707628479
29,isafjordur,66.0755,-23.124,-3.3,87,100,3.32,IS,1707628479
30,carnarvon,-24.8667,113.6333,35.74,36,0,4.14,AU,1707628479
31,raduzhny,62.0961,77.475,-16.81,95,98,6.56,RU,1707628480
32,urangan,-25.3,152.9,29.0,66,17,4.92,AU,1707628480
33,port lincoln,-34.7333,135.8667,29.42,35,0,6.24,AU,1707627881
34,tofol,5.3248,163.0078,28.88,79,100,6.17,FM,1707628481
35,san patricio,28.017,-97.5169,21.02,92,100,4.58,US,1707628027
36,nemuro,43.3236,145.575,-3.04,68,98,7.31,JP,1707628481
37,ushuaia,-54.8,-68.3,8.81,93,20,4.63,AR,1707628481
38,almonte,37.2647,-6.5167,10.16,86,93,0.97,ES,1707628481
39,kapa'a,22.0752,-159.319,22.99,83,100,2.57,US,1707628482
40,murghob,38.1702,73.9667,-14.73,58,99,1.86,TJ,1707628482
41,arzberg,50.0667,12.2,7.17,95,100,0.12,DE,1707628482
42,parabel',58.6978,81.4825,-12.8,88,100,6.6,RU,1707628482
43,jamestown,42.097,-79.2353,2.77,90,100,2.57,US,1707628326
44,babayevo,59.3936,35.9371,-22.23,100,97,1.72,RU,1707628483
45,kodiak,57.79,-152.4072,0.73,75,0,1.54,US,1707628483
46,scottburgh,-30.2867,30.7532,20.19,82,72,1.81,ZA,1707628483
47,yarmouth,41.7057,-70.2286,9.51,88,0,3.13,US,1707628484
48,anadyr,64.75,177.4833,-21.72,77,40,5.0,RU,1707627954
49,tiksi,71.6872,128.8694,-29.87,100,100,2.31,RU,1707628484
50,sao vicente,-23.9631,-46.3919,26.82,26,9,1.06,BR,1707628484
51,luganville,-15.5333,167.1667,29.3,75,28,4.77,VU,1707628484
52,pacific grove,36.6177,-121.9166,11.06,86,20,2.57,US,1707627961
53,katabu,-4.9333,122.5167,27.51,84,100,2.63,ID,1707628485
54,aktau,43.65,51.2,4.32,77,100,5.14,KZ,1707628485
55,turan,16.0678,108.2208,23.99,60,75,3.09,VN,1707628485
56,marsa alam,25.0757,34.8918,18.23,55,0,5.05,EG,1707628486
57,buka,40.8108,69.1986,13.56,29,100,0.66,UZ,1707628486
58,ola,59.5833,151.2833,-18.81,80,99,3.26,RU,1707628486
59,hadibu,12.65,54.0333,25.24,71,14,3.27,YE,1707628486
60,arraial do cabo,-22.9661,-42.0278,25.27,84,13,8.73,BR,1707627895
61,mugia,43.1041,-9.2179,8.28,73,100,5.38,ES,1707628487
62,hamilton,39.1834,-84.5333,5.69,80,0,4.12,US,1707628260
63,nelson,-41.2833,173.2833,15.76,66,40,5.12,NZ,1707628487
64,sittwe,20.15,92.9,24.86,34,24,0.52,MM,1707628488
65,latakia,35.5148,35.7768,10.1,66,22,3.38,SY,1707628488
66,tralee,52.2704,-9.7026,6.66,83,56,6.3,IE,1707628488
67,beyneu,45.3167,55.2,1.54,77,100,4.52,KZ,1707628489
68,vakarai,55.6035,23.8213,-1.71,95,100,4.02,LT,1707628489
69,lazaro cardenas,17.9583,-102.2,23.09,82,36,2.44,MX,1707628489
70,lebowakgomo,-24.2,29.5,19.5,77,74,2.92,ZA,1707628490
71,papatowai,-46.5619,169.4708,15.05,52,95,3.3,NZ,1707628490
72,puerto ayora,-0.7393,-90.3518,25.86,96,42,2.02,EC,1707628490
73,newman,37.3138,-121.0208,7.23,85,0,1.4,US,1707628491
74,huicheng,23.0385,116.2899,20.84,31,0,3.18,CN,1707628491
75,bilibino,68.0546,166.4372,-30.21,99,100,0.98,RU,1707628491
76,chibougamau,49.9168,-74.3659,-2.21,86,100,3.09,CA,1707628491
77,hilo,19.7297,-155.09,21.85,88,100,1.54,US,1707628487
78,khanty-mansiysk,61.0042,69.0019,-24.94,70,0,3.13,RU,1707628492
79,haenam,34.5711,126.5989,6.75,53,9,9.68,KR,1707628492
80,oblivskaya,48.5362,42.5014,-2.68,95,100,7.21,RU,1707628492
81,codrington,-38.2667,141.9667,24.41,45,0,6.86,AU,1707628493
82,kuopio,62.8924,27.677,-24.32,82,100,1.34,FI,1707628493
83,valera,9.3178,-70.6036,21.51,88,26,2.45,VE,1707628493
84,ribeira grande,38.5167,-28.7,17.1,92,47,6.26,PT,1707628493
85,kirakira,-10.4544,161.9205,28.44,78,100,5.93,SB,1707628493
86,sitka,57.0531,-135.33,5.94,75,75,3.6,US,1707628494
87,gubakha,58.8386,57.5532,-27.7,100,100,1.04,RU,1707628494
88,olyokminsk,60.3736,120.4264,-13.96,94,100,1.62,RU,1707628494
89,viedma,-40.8135,-62.9967,18.19,93,0,2.55,AR,1707627982
90,saynshand,44.8824,110.1163,-8.0,81,8,3.92,MN,1707628495
91,greymouth,-42.4667,171.2,16.21,54,0,4.6,NZ,1707628495
92,jincheng,35.5022,112.8328,5.89,36,0,1.91,CN,1707628495
93,atafu village,-8.5421,-172.5159,28.02,82,100,7.7,TK,1707628495
94,saacow,1.6279,42.4407,27.78,53,82,6.66,SO,1707628496
95,nema,57.5067,50.5011,-24.38,100,67,1.81,RU,1707628496
96,punta arenas,-53.15,-70.9167,11.06,71,0,3.09,CL,1707628295
97,alaghsas,17.0187,8.0168,17.94,14,0,4.12,NE,1707628496
98,tazovsky,67.4667,78.7,-21.11,97,95,3.74,RU,1707628497
99,talodi,10.6325,30.3797,23.55,18,1,2.88,SD,1707628497
100,mosfellsbaer,64.1667,-21.7,2.01,69,0,7.72,IS,1707628498
101,tuy hoa,13.0833,109.3,22.22,89,91,5.5,VN,1707628498
102,hermanus,-34.4187,19.2345,17.67,77,9,5.16,ZA,1707628499
103,vorgashor,67.5833,63.95,-25.1,99,100,2.34,RU,1707628499
104,saudarkrokur,65.7461,-19.6394,-7.41,84,100,3.96,IS,1707627906
105,saint-philippe,-21.3585,55.7679,28.77,85,64,5.73,RE,1707628499
106,sarapul,56.4763,53.7978,-23.37,100,87,2.13,RU,1707628500
107,akureyri,65.6835,-18.0878,-8.59,91,99,2.07,IS,1707628500
108,naama,33.2667,-0.3167,8.63,76,24,10.95,DZ,1707628500
109,al badari,26.9926,31.4155,11.84,50,0,2.38,EG,1707628500
110,sandnessjoen,66.0217,12.6316,-20.71,71,2,6.93,NO,1707628501
111,qaqortoq,60.7167,-46.0333,-24.64,74,4,3.18,GL,1707627911
112,kangding,30.0513,101.9603,9.66,35,0,1.15,CN,1707628501
113,albany,42.6001,-73.9662,7.04,74,92,0.45,US,1707628502
114,rosarito,32.3333,-117.0333,11.74,59,3,2.65,MX,1707628502
115,ushtobe,45.2514,77.9838,5.51,55,100,7.53,KZ,1707628502
116,yellowknife,62.456,-114.3525,-12.55,96,100,4.12,CA,1707628503
117,ankazoabo,-22.2833,44.5167,26.52,77,100,1.84,MG,1707628503
118,bardai,11.65,7.2333,18.61,21,0,3.66,NG,1707628503
119,constantia,44.1833,28.65,12.61,71,100,6.61,RO,1707628504
120,wajir,1.7471,40.0573,27.53,56,61,6.69,KE,1707628504
121,labytnangi,66.6572,66.4183,-24.99,86,99,3.17,RU,1707628504
122,fale old settlement,-9.3852,-171.2468,27.24,85,100,7.69,TK,1707628505
123,bethel,41.3712,-73.414,9.41,86,100,0.45,US,1707628499
124,pemangkat,1.1667,108.9667,26.94,82,58,9.55,ID,1707627664
125,lihue,21.9789,-159.3672,22.58,82,100,2.57,US,1707628506
126,n'zeto,-7.2312,12.8666,27.34,84,100,3.79,AO,1707628506
127,aberdeen,57.1437,-2.0981,2.52,100,100,1.54,GB,1707628321
128,mbanza kongo,-6.267,14.2401,20.67,98,100,0.78,AO,1707628506
129,port mathurin,-19.6833,63.4167,26.99,84,100,9.43,MU,1707628507
130,gargalianoi,37.0667,21.6333,15.2,77,100,9.8,GR,1707628507
131,howrah,22.5892,88.3103,23.0,60,0,3.09,IN,1707628507
132,badger,64.8,-147.5333,-7.86,85,100,1.54,US,1707628507
133,colonia,50.9333,6.95,10.54,88,40,3.09,DE,1707628000
134,prince rupert,54.3161,-130.3201,4.83,100,0,5.66,CA,1707628508
135,atkarsk,51.8718,45.0078,-14.02,93,100,3.68,RU,1707628508
136,wailua homesteads,22.0669,-159.378,22.24,83,100,2.57,US,1707628509
137,malango,-2.9627,119.9001,25.69,86,100,0.85,ID,1707628509
138,ilulissat,69.2167,-51.1,-15.99,47,75,5.66,GL,1707628510
139,iqaluit,63.7506,-68.5145,-26.15,70,75,1.03,CA,1707628510
140,carloforte,39.145,8.3058,13.33,62,64,10.23,IT,1707628510
141,namibe,-15.1961,12.1522,24.05,85,100,1.23,AO,1707628511
142,kingscliff,-28.2667,153.5667,29.31,61,80,8.23,AU,1707628511
143,launceston,-41.45,147.1667,23.8,49,100,5.66,AU,1707628395
144,novosergiyevka,52.0934,53.6528,-24.73,100,62,0.82,RU,1707628512
145,weno,7.4515,151.8468,29.97,70,40,5.14,FM,1707628512
146,rongelap,11.1635,166.8941,26.22,79,80,9.21,MH,1707627931
147,west island,-12.1568,96.8225,30.99,70,40,6.17,CC,1707628513
148,ceerigaabo,10.6162,47.368,17.63,53,6,0.3,SO,1707628513
149,darwin,-12.4611,130.8418,30.03,83,75,4.63,AU,1707628022
150,lanzhou,36.0564,103.7922,6.29,25,1,1.36,CN,1707628513
151,aasiaat,68.7098,-52.8699,-22.94,99,100,4.87,GL,1707628513
152,lingsugur,16.1667,76.5167,28.31,37,45,6.31,IN,1707628514
153,keflavik,64.0049,-22.5624,1.24,93,75,11.83,IS,1707627931
154,zhengjiatun,43.5064,123.5064,-4.55,60,1,2.81,CN,1707628515
155,udachny,66.4167,112.4,-38.64,65,100,2.59,RU,1707628516
156,canutama,-6.5339,-64.3831,24.05,97,100,1.35,BR,1707628516
157,el calafate,-50.3408,-72.2768,14.33,69,100,3.64,AR,1707628229
158,luebo,-5.35,21.4167,21.17,97,99,1.0,CD,1707628516
159,aoulef,26.9667,1.0833,20.48,44,38,4.32,DZ,1707628517
160,mount pleasant,32.7941,-79.8626,16.16,94,100,3.09,US,1707628517
161,tolanaro,-25.0319,46.9987,26.96,77,28,4.22,MG,1707628517
162,margaret river,-33.95,115.0667,25.91,54,2,6.67,AU,1707628517
163,toliara,-23.35,43.6667,27.69,79,73,1.67,MG,1707628518
164,nar'yan-mar,67.6713,53.087,-30.5,100,94,1.79,RU,1707627929
165,alofi,-19.0595,-169.9187,27.94,83,100,5.14,NU,1707628518
166,narok,-1.0783,35.8601,15.88,79,25,0.71,KE,1707628519
167,bredasdorp,-34.5322,20.0403,16.99,74,31,3.25,ZA,1707628519
168,polyarnyy,69.1989,33.4478,-11.09,82,100,2.48,RU,1707627928
169,palmer,42.1584,-72.3287,8.68,91,20,0.0,US,1707628411
170,tura,25.5198,90.2201,25.78,26,0,0.94,IN,1707628520
171,port douglas,-16.4833,145.4667,29.66,68,96,2.12,AU,1707628520
172,uliastay,47.7417,96.8444,-4.19,65,75,0.6,MN,1707628520
173,busselton,-33.65,115.3333,31.33,38,0,3.53,AU,1707628346
174,enewetak,11.3474,162.3373,26.59,81,93,9.52,MH,1707628521
175,jacksonville,30.3322,-81.6556,17.0,91,40,1.54,US,1707628354
176,kone,-21.0595,164.8658,28.76,71,64,3.45,NC,1707628521
177,richards bay,-28.783,32.0377,21.64,77,99,2.88,ZA,1707628521
178,mejit,10.2753,170.8646,26.4,75,100,8.8,MH,1707628522
179,meiganga,6.5167,14.3,18.66,30,54,1.86,CM,1707628522
180,heunghae,36.1125,129.3522,6.81,39,4,7.9,KR,1707628522
181,al majaridah,19.1236,41.9111,23.54,64,76,0.84,SA,1707628522
182,natal,-5.795,-35.2094,25.36,94,40,2.57,BR,1707628523
183,zherdevka,51.8486,41.4606,-8.15,91,100,5.56,RU,1707628523
184,amble,55.3333,-1.5833,6.28,100,100,0.51,GB,1707628523
185,mana,5.6592,-53.7767,25.35,83,1,3.77,GF,1707628524
186,fort bragg,35.139,-79.006,18.79,76,100,3.09,US,1707628499
187,queenstown,-31.8976,26.8753,13.28,73,52,1.11,ZA,1707628524
188,alampur,15.8833,78.15,29.5,41,65,6.61,IN,1707628524
189,bikenibeu village,1.3673,173.1241,27.59,79,100,3.82,KI,1707628524
190,pointe-noire,-4.7761,11.8635,25.04,94,75,2.06,CG,1707628525
191,alice springs,-23.7,133.8833,31.75,48,90,7.2,AU,1707628525
192,egilsstadir,65.2653,-14.3948,-2.05,100,75,4.63,IS,1707628525
193,hithadhoo,-0.6,73.0833,28.08,76,74,5.0,MV,1707628047
194,vernon,50.2581,-119.2691,1.27,81,93,0.81,CA,1707628040
195,mount gambier,-37.8333,140.7667,29.42,24,0,4.1,AU,1707628526
196,lemvig,56.5486,8.3102,1.22,97,100,9.86,DK,1707628526
197,mount pearl,47.5166,-52.7813,-1.81,93,75,7.2,CA,1707628526
198,ketchikan,55.3422,-131.6461,2.99,100,75,2.06,US,1707628527
199,susuman,62.7833,148.1667,-25.01,92,100,0.89,RU,1707628527
200,colares,38.7992,-9.4469,14.38,82,100,4.02,PT,1707628527
201,yaren,-0.5472,166.916,28.75,75,100,4.22,NR,1707628527
202,la passe,45.5549,-0.8967,9.43,82,79,11.59,FR,1707628528
203,talnakh,69.4865,88.3972,-27.46,83,65,1.54,RU,1707628528
204,st. john's,47.5649,-52.7093,-1.29,94,75,6.69,CA,1707628382
205,shilka,51.85,116.0333,-6.87,78,98,4.47,RU,1707628528
206,saldanha,-33.0117,17.9442,17.53,75,1,4.32,ZA,1707628529
207,vilyuchinsk,52.9306,158.4028,-6.85,72,27,3.14,RU,1707628529
208,dudinka,69.4058,86.1778,-30.74,94,63,2.24,RU,1707628529
209,bodaybo,57.8506,114.1933,-4.7,94,100,1.38,RU,1707628530
210,utrik,11.2278,169.8474,26.12,80,100,9.46,MH,1707628530
211,tromso,69.6496,18.957,-1.99,74,100,6.69,NO,1707628530
212,port saint john's,-31.6229,29.5448,18.73,84,32,1.6,ZA,1707628531
213,sao tome,0.3365,6.7273,28.03,79,87,2.98,ST,1707627973
214,alta,69.9689,23.2717,-20.41,77,67,3.09,NO,1707628531
215,belyy yar,53.6039,91.3903,-3.06,54,0,11.0,RU,1707628531
216,lorengau,-2.0226,147.2712,29.43,73,99,4.22,PG,1707628532
217,lillehammer,61.1146,10.4674,-12.77,98,99,0.79,NO,1707628532
218,tateyama,34.9833,139.8667,11.17,49,72,3.11,JP,1707628533
219,diffa,13.3154,12.6113,19.2,15,3,3.44,NE,1707628533
220,saint-julien-les-villas,48.2667,4.1,7.98,93,100,3.6,FR,1707628533
221,charters towers,-20.1,146.2667,33.6,31,28,3.11,AU,1707628533
222,baikonur,45.6167,63.3167,-2.18,82,100,6.47,KZ,1707628534
223,san antonio de pale,-1.4014,5.6325,28.72,75,95,2.52,GQ,1707628534
224,illizi,26.4833,8.4667,15.89,10,99,2.91,DZ,1707628534
225,saipan,15.1355,145.701,29.39,65,40,8.23,MP,1707628535
226,mil'kovo,55.6078,37.7956,-12.54,93,95,3.36,RU,1707628018
227,raduzhnyy,62.0961,77.475,-16.61,94,99,5.18,RU,1707628536
228,suzun,53.7841,82.3116,-14.26,89,91,5.43,RU,1707628536
229,tanout,14.9709,8.8879,18.0,10,0,3.53,NE,1707628536
230,aykhal,66.0,111.5,-34.64,100,100,2.33,RU,1707628537
231,eisen,36.8217,128.6308,4.64,41,15,6.15,KR,1707628537
232,roma,43.2128,-75.4557,4.97,80,90,0.89,US,1707628537
233,hami,42.8,93.45,3.47,42,32,2.76,CN,1707628537
234,kununurra,-15.7667,128.7333,30.99,70,100,3.09,AU,1707627941
235,taco pozo,-25.6167,-63.2833,26.16,81,72,1.53,AR,1707628538
236,el granada,37.5027,-122.4694,12.14,87,100,5.66,US,1707628538
237,belidzhi,41.8918,48.4125,10.39,56,43,1.41,RU,1707628538
238,pangody,65.85,74.4859,-21.02,96,97,6.0,RU,1707628538
239,linxia chengguanzhen,35.6003,103.2064,4.93,24,0,1.83,CN,1707628539
240,petropavlovsk-kamchatsky,53.0452,158.6483,-7.67,27,0,6.0,RU,1707628539
241,lospalos,-8.5186,127.0025,29.74,61,65,5.26,TL,1707628539
242,ciudad lazaro cardenas,17.9583,-102.2,23.09,82,36,2.44,MX,1707628540
243,kudahuvadhoo,2.6708,72.8944,27.69,80,16,7.52,MV,1707628540
244,georgetown,5.4112,100.3354,31.96,48,20,3.6,MY,1707628415
245,brookings,44.3114,-96.7984,-0.46,84,38,2.44,US,1707628540
246,kem',64.9555,34.5793,-14.41,97,97,2.08,RU,1707628541
247,changling,44.2653,124.0005,-6.01,70,2,1.96,CN,1707628541
248,lethem,3.3803,-59.7968,27.38,62,5,6.39,GY,1707628541
249,nybro,56.7446,15.9071,0.14,96,100,4.86,SE,1707628541
250,antalaha,-14.9003,50.2788,26.88,83,100,1.53,MG,1707628541
251,hirara,24.8,125.2833,20.15,45,20,7.2,JP,1707628542
252,la'ie,21.6477,-157.9253,23.98,83,83,0.9,US,1707627968
253,kailua-kona,19.6406,-155.9956,24.98,86,20,4.12,US,1707628542
254,chimore,-16.9833,-65.1333,23.19,98,100,0.35,BO,1707628542
255,chonchi,-42.6128,-73.8092,12.29,98,89,1.23,CL,1707628543
256,coyhaique,-45.5752,-72.0662,17.34,63,0,1.54,CL,1707628543
257,merizo village,13.2658,144.6691,29.31,79,95,6.8,GU,1707628543
258,whitehorse,60.7161,-135.0538,0.43,74,40,5.66,CA,1707628544
259,ust'-ilimsk,58.0006,102.6619,-4.76,88,98,2.68,RU,1707628544
260,tsiombe,-25.3,45.4833,27.92,77,20,1.99,MG,1707628544
261,kolwezi,-10.7148,25.4667,16.93,98,100,3.06,CD,1707628545
262,nabire,-3.3667,135.4833,30.14,69,55,2.57,ID,1707628545
263,pisco,-13.7,-76.2167,24.03,78,0,4.12,PE,1707628545
264,maitum,6.0392,124.4986,29.52,69,60,2.44,PH,1707628545
265,nora,59.5193,15.0398,-4.34,96,100,3.43,SE,1707628546
266,thompson,55.7435,-97.8558,-15.91,85,100,0.0,CA,1707628546
267,puerto san jose,13.9256,-90.8244,23.18,82,0,1.64,GT,1707628546
268,northam,51.0333,-4.2167,10.92,97,98,6.45,GB,1707628547
269,cannonvale,-20.2833,148.7,25.66,69,22,7.58,AU,1707628547
270,vadso,70.0744,29.7487,-17.91,85,100,4.63,NO,1707628547
271,nuuk,64.1835,-51.7216,-14.66,66,83,5.14,GL,1707627975
272,jiuquan,39.7432,98.5174,4.9,21,4,1.38,CN,1707628548
273,bouar,5.934,15.596,18.8,28,10,2.42,CF,1707628548
274,katsuura,35.1333,140.3,10.05,42,92,2.88,JP,1707628549
275,faya-largeau,17.9257,19.1043,17.4,19,1,5.41,TD,1707628549
